timestamp,AccX,AccY,AccZ
1569603977053,-0.9670000076293945,4.289999961853027,13.215999603271484
1569603977127,-1.9919999837875366,3.7920000553131104,9.050000190734863
1569603977160,1.2640000581741333,1.3589999675750732,11.463000297546387
1569603977224,3.609999895095825,0.9380000233650208,10.60099983215332
1569603977291,0.3919999897480011,3.505000114440918,5.23799991607666
1569603977356,-2.068000078201294,3.188999891281128,6.961999893188477
1569603977422,,,6.684000015258789
1569603977423,-1.9919999837875366,1.2829999923706055,
1569603977488,0.2199999988079071,3.2269999980926514,6.464000225067139
1569603977555,-2.0869998931884766,2.125999927520752,8.437000274658203
1569603977621,0.07599999755620956,7.296999931335449,8.130000114440918
1569603977686,-0.6320000290870667,4.145999908447266,12.4399995803833
1569603977752,,4.040999889373779,9.307999610900879
1569603977753,-1.972000002861023,,
1569603977818,,4.807000160217285,14.786999702453613
1569603977819,4.232999801635742,,
1569603977884,-3.4089999198913574,-0.5929999947547913,8.781999588012695
1569603977950,2.825000047683716,1.0529999732971191,9.920999526977539
1569603978021,0.8519999980926514,-1.3209999799728394,7.585000038146973
1569603978085,,,9.79699993133545
1569603978086,-1.034000039100647,-0.42100000381469727,
1569603978178,-0.3160000145435333,-0.5550000071525574,9.039999961853027
1569603978225,,,9.98799991607666
1569603978226,0.4300000071525574,-0.06700000166893005,
1569603978289,,,9.442999839782715
1569603978290,-0.3160000145435333,-0.37299999594688416,
1569603978348,,,10.227999687194824
1569603978349,0.24899999797344208,-0.4880000054836273,
1569603978430,,,9.442999839782715
1569603978431,0.49799999594688416,-0.03799999877810478,
1569603978480,0.6510000228881836,-0.07599999755620956,9.86400032043457
1569603978544,,,9.786999702453613
1569603978545,-0.41100001335144043,-0.6990000009536743,
1569603978613,,,10.543999671936035
1569603978614,-0.24899999797344208,-0.5839999914169312,
1569603978679,-0.6890000104904175,-0.5360000133514404,9.79699993133545
1569603978742,,,10.093999862670898
1569603978743,0.3059999942779541,-0.5070000290870667,
1569603978811,,,9.538000106811523
1569603978812,0.4399999976158142,-0.3630000054836273,
1569603978874,,-1.0429999828338623,9.347000122070312
1569603978875,0.45899999141693115,,
1569603978950,,-0.4880000054836273,10.227999687194824
1569603978951,0.01899999938905239,,
1569603979006,,0.0,10.630000114440918
1569603979007,-0.765999972820282,,
1569603979072,,-0.49799999594688416,10.123000144958496
1569603979073,-0.9959999918937683,,
1569603979138,0.0949999988079071,-0.8610000014305115,10.1899995803833
1569603979204,,-0.4399999976158142,9.241000175476074
1569603979205,-0.008999999612569809,,
1569603979270,,-0.45899999141693115,9.54800033569336
1569603979271,0.2770000100135803,,
1569603979336,,-1.0240000486373901,9.968999862670898
1569603979337,-0.29600000381469727,,
1569603979402,,-0.45899999141693115,10.246999740600586
1569603979403,-0.7749999761581421,,
1569603979468,,-0.3919999897480011,10.131999969482422
1569603979469,-0.04699999839067459,,
1569603979534,,-0.621999979019165,10.102999687194824
1569603979535,-0.42100000381469727,,
1569603979600,,-0.6700000166893005,9.67199993133545
1569603979601,-0.3059999942779541,,
1569603979666,-0.3440000116825104,-0.7179999947547913,10.123000144958496
1569603979735,,,9.815999984741211
1569603979736,-0.5070000290870667,-0.6029999852180481,
1569603979798,,-0.4300000071525574,9.98799991607666
1569603979799,-0.20999999344348907,,
1569603979864,,-0.6890000104904175,10.458000183105469
1569603979865,-0.0949999988079071,,
1569603979930,-0.33500000834465027,-0.44999998807907104,9.366000175476074
1569603979996,-0.20100000500679016,-0.5450000166893005,10.362000465393066
1569603980062,,-0.5740000009536743,9.949999809265137
1569603980063,-0.49799999594688416,,
1569603980128,,-0.6320000290870667,9.960000038146973
1569603980129,-0.10499999672174454,,
1569603980195,-0.14300000667572021,-0.4779999852180481,10.439000129699707
1569603980260,,-0.4690000116825104,9.614999771118164
1569603980261,-0.03799999877810478,,
1569603980331,0.12399999797344208,-0.5070000290870667,10.265999794006348
1569603980396,,,9.835000038146973
1569603980397,-0.37299999594688416,-0.4690000116825104,
1569603980463,-0.06700000166893005,-0.7559999823570251,9.701000213623047
