timestamp,AccX,AccY,AccZ
1569603469474,0.6700000166893005,2.183000087738037,8.656999588012695
1569603469528,,2.1540000438690186,
1569603469529,-0.8899999856948853,,9.767999649047852
1569603469581,-0.5360000133514404,1.9819999933242798,10.916999816894531
1569603469646,-1.034000039100647,2.25,10.439000129699707
1569603469712,-1.5800000429153442,2.308000087738037,9.652999877929688
1569603469777,-1.2829999923706055,3.2269999980926514,7.631999969482422
1569603469843,-0.8709999918937683,4.739999771118164,8.111000061035156
1569603469909,0.4399999976158142,7.574999809265137,8.494000434875488
1569603469975,-2.7669999599456787,6.138000011444092,10.782999992370605
1569603470046,-2.3550000190734863,4.913000106811523,11.031999588012695
1569603470114,-0.4880000054836273,3.6389999389648438,7.507999897003174
1569603470176,-2.0199999809265137,5.553999900817871,7.642000198364258
1569603470241,,6.110000133514404,
1569603470242,-5.353000164031982,,9.232000350952148
1569603470305,,5.209000110626221,5.706999778747559
1569603470306,-2.6619999408721924,,
1569603470371,,2.078000068664551,4.89300012588501
1569603470372,-6.589000225067139,,
1569603470437,-1.034000039100647,2.2019999027252197,9.57699966430664
1569603470521,,4.165999889373779,2.5759999752044678
1569603470522,-3.5239999294281006,,
1569603470574,-1.944000005722046,4.3480000495910645,9.682000160217285
1569603470635,-2.9010000228881836,6.043000221252441,3.7060000896453857
1569603470704,,6.589000225067139,
1569603470705,-7.939000129699707,,8.972999572753906
1569603470767,-10.47700023651123,4.9029998779296875,12.076000213623047
1569603470833,,5.678999900817871,6.415999889373779
1569603470834,-5.888999938964844,,
1569603470906,-7.144000053405762,3.0929999351501465,-0.6119999885559082
1569603470965,,5.439000129699707,8.340999603271484
1569603470968,-1.312000036239624,,
1569603471031,-3.821000099182129,5.171000003814697,10.439000129699707
1569603471116,,-2.3459999561309814,8.848999977111816
1569603471117,-7.498000144958496,,
1569603471163,4.883999824523926,1.8860000371932983,14.173999786376953
1569603471229,-2.2980000972747803,8.121000289916992,2.3459999561309814
1569603471308,-0.5170000195503235,9.998000144958496,6.789999961853027
1569603471361,,11.406000137329102,3.944999933242798
1569603471362,1.5700000524520874,,
1569603471434,3.944999933242798,9.54800033569336,0.1340000033378601
1569603471508,2.5369999408721924,8.024999618530273,-0.32499998807907104
1569603471560,1.5410000085830688,9.701000213623047,2.6619999408721924
1569603471626,0.0949999988079071,8.39900016784668,3.4089999198913574
1569603471691,,9.442999839782715,
1569603471692,0.6990000009536743,,0.3160000145435333
1569603471766,2.5850000381469727,10.907999992370605,2.9590001106262207
1569603471823,1.4739999771118164,7.909999847412109,3.303999900817871
1569603471889,2.0869998931884766,8.465999603271484,3.1500000953674316
1569603471955,,9.854000091552734,
1569603471956,2.9489998817443848,,4.788000106811523
1569603472026,2.0490000247955322,8.848999977111816,2.365000009536743
1569603472092,2.4700000286102295,8.88700008392334,2.614000082015991
1569603472158,,7.920000076293945,
1569603472159,2.0390000343322754,,3.936000108718872
1569603472222,2.3269999027252197,9.682000160217285,3.006999969482422
1569603472288,2.3269999027252197,8.972999572753906,3.609999895095825
1569603472352,,4.758999824523926,
1569603472353,-2.240999937057495,,5.688000202178955
1569603472418,-1.36899995803833,5.007999897003174,9.883000373840332
1569603472489,,5.678999900817871,
1569603472490,-2.078000068664551,,7.995999813079834
1569603472562,1.8569999933242798,5.4679999351501465,6.177000045776367
1569603472615,,7.355000019073486,
1569603472616,8.092000007629395,,6.185999870300293
1569603472685,4.386000156402588,8.762999534606934,6.004000186920166
1569603472756,,5.89900016784668,
1569603472757,1.5410000085830688,,7.39300012588501
1569603472814,,5.572999954223633,5.97599983215332
1569603472815,3.25600004196167,,
1569603472879,1.1579999923706055,6.933000087738037,6.320000171661377
1569603472945,2.431999921798706,6.568999767303467,9.001999855041504
1569603473013,,7.718999862670898,6.7230000495910645
1569603473014,2.125999927520752,,
1569603473077,-0.765999972820282,7.451000213623047,7.479000091552734
1569603473147,1.6469999551773071,7.556000232696533,8.475000381469727
1569603473210,1.7230000495910645,7.660999774932861,5.0279998779296875
1569603473278,0.8040000200271606,7.556000232696533,2.930000066757202
1569603473351,1.8289999961853027,7.814000129699707,6.204999923706055
1569603473407,0.8999999761581421,7.51800012588501,6.90500020980835
1569603473474,1.531999945640564,9.164999961853027,8.359999656677246
1569603473548,,6.617000102996826,
1569603473549,1.225000023841858,,6.550000190734863
1569603473605,1.7039999961853027,7.191999912261963,7.986999988555908
1569603473671,5.0370001792907715,8.053999900817871,2.825000047683716
1569603473737,5.764999866485596,10.055999755859375,4.059999942779541
1569603473803,3.1600000858306885,8.456000328063965,3.9549999237060547
1569603473869,,6.923999786376953,
1569603473870,0.8519999980926514,,2.7769999504089355
1569603473935,,8.465999603271484,4.184999942779541
1569603473936,2.805999994277954,,
1569603474001,1.2920000553131104,7.679999828338623,3.677000045776367
