timestamp,AccX,AccY,AccZ
1569532033092,,,6.828000068664551
1569532033093,-3.696000099182129,5.888999938964844,
1569532033194,,,7.2210001945495605
1569532033195,-2.0869998931884766,6.568999767303467,4.5289998054504395
1569532033243,,,6.589000225067139
1569532033244,-3.0350000858306885,6.550000190734863,
1569532033313,,6.961999893188477,6.645999908447266
1569532033314,-2.3459999561309814,,
1569532033372,,,7.019999980926514
1569532033373,-2.068000078201294,7.0289998054504395,
1569532033443,-2.2309999465942383,6.617000102996826,7.249000072479248
1569532033509,,,7.047999858856201
1569532033510,-2.671999931335449,6.617000102996826,
1569532033577,-3.055000066757202,6.540999889373779,5.439000129699707
1569532033637,,,7.574999809265137
1569532033638,-2.9489998817443848,7.019999980926514,
1569532033705,-3.677000045776367,6.684000015258789,5.97599983215332
1569532033771,-2.8440001010894775,6.953000068664551,7.593999862670898
1569532033836,-2.441999912261963,7.479000091552734,6.204999923706055
1569532033902,,7.709000110626221,6.340000152587891
1569532033903,-2.2209999561309814,,
1569532033968,-1.1579999923706055,8.418000221252441,5.764999866485596
1569532034034,-1.9149999618530273,7.574999809265137,5.515999794006348
1569532034100,-3.494999885559082,7.890999794006348,4.175000190734863
1569532034169,-4.691999912261963,7.890999794006348,4.453000068664551
1569532034230,,7.191999912261963,5.966000080108643
1569532034231,-6.177000045776367,,
1569532034296,,7.679999828338623,3.821000099182129
1569532034297,-3.111999988555908,,
1569532034362,,7.51800012588501,4.165999889373779
1569532034363,-3.9639999866485596,,
1569532034428,,7.382999897003174,6.138000011444092
1569532034429,-3.993000030517578,,
1569532034494,,,1.7039999961853027
1569532034495,-5.2769999504089355,9.20300006866455,
1569532034560,,,4.461999893188477
1569532034561,-1.972000002861023,9.270000457763672,
1569532034627,-2.4030001163482666,6.129000186920166,4.461999893188477
1569532034692,,,9.355999946594238
1569532034693,-5.794000148773193,5.650000095367432,
1569532034758,,,5.966000080108643
1569532034759,-3.628999948501587,5.97599983215332,
1569532034824,,,5.171000003814697
1569532034825,-1.8860000371932983,5.783999919891357,
1569532034890,,,9.184000015258789
1569532034891,-0.4690000116825104,7.928999900817871,
1569532034956,,,7.593999862670898
1569532034957,1.7899999618530273,7.46999979019165,
1569532035022,,7.948999881744385,8.092000007629395
1569532035023,1.2829999923706055,,
1569532035088,,5.410999774932861,3.3519999980926514
1569532035089,0.07599999755620956,,
1569532035154,,5.6020002365112305,7.5269999504089355
1569532035157,2.2880001068115234,,
1569532035220,-2.7669999599456787,7.440999984741211,7.88100004196167
1569532035286,,7.804999828338623,4.328000068664551
1569532035287,-3.4189999103546143,,
1569532035352,,7.909999847412109,8.130000114440918
1569532035353,1.090999960899353,,
1569532035418,,10.093999862670898,7.565000057220459
1569532035420,1.7899999618530273,,
1569532035484,,,2.000999927520752
1569532035485,0.5260000228881836,6.0329999923706055,
1569532035556,6.645999908447266,10.380999565124512,7.288000106811523
1569532035618,-4.328000068664551,9.241000175476074,9.79699993133545
1569532035687,-0.32499998807907104,8.437000274658203,5.572999954223633
1569532035754,,12.24899959564209,-0.03799999877810478
1569532035755,-2.739000082015991,,
1569532035818,-4.864999771118164,11.654999732971191,10.782999992370605
1569532035884,-3.8970000743865967,9.45199966430664,-0.1720000058412552
1569532035946,,9.154999732971191,9.366000175476074
1569532035947,-1.253999948501587,,
1569532036014,-1.062999963760376,7.901000022888184,2.2880001068115234
1569532036078,-0.3919999897480011,9.01200008392334,5.132999897003174
1569532036147,0.7269999980926514,6.933000087738037,4.605999946594238
1569532036210,,8.637999534606934,0.07599999755620956
1569532036214,-2.7769999504089355,,
1569532036278,,,5.256999969482422
1569532036279,-1.9630000591278076,5.315000057220459,
1569532036342,,,6.2729997634887695
1569532036343,-0.41100001335144043,7.9679999351501465,
1569532036408,,,4.9029998779296875
1569532036409,0.7369999885559082,9.154999732971191,
1569532036474,,,1.9819999933242798
1569532036475,,8.675999641418457,
1569532036477,-3.86899995803833,,
1569532036540,,,5.4679999351501465
1569532036541,1.0429999828338623,7.315999984741211,
1569532036606,,,6.02400016784668
1569532036607,1.1679999828338623,8.293000221252441,
1569532036673,-1.187000036239624,6.329999923706055,8.972999572753906
1569532036738,,7.382999897003174,7.125
1569532036741,-2.365000009536743,,
1569532036804,,7.144000053405762,7.901000022888184
1569532036805,-4.835999965667725,,
1569532036870,,5.611999988555908,5.985000133514404
1569532036871,-1.5219999551773071,,
1569532036936,,,3.86899995803833
1569532036937,,10.256999969482422,
1569532036938,1.4359999895095825,,
1569532037002,-1.7139999866485596,8.024999618530273,10.467000007629395
1569532037068,,8.9350004196167,1.9049999713897705
1569532037069,-1.215999960899353,,
1569532037134,,9.758999824523926,7.928999900817871
1569532037135,1.187000036239624,,
1569532037200,0.0949999988079071,5.861000061035156,0.6119999885559082
1569532037266,,9.74899959564209,12.5649995803833
1569532037270,4.175000190734863,,
1569532037332,-0.5360000133514404,9.567000389099121,5.515999794006348
1569532037398,0.3540000021457672,7.307000160217285,7.374000072479248
1569532037464,,5.372000217437744,6.961999893188477
1569532037466,-2.0969998836517334,,
1569532037530,-2.7960000038146973,8.868000030517578,4.2230000495910645
1569532037601,-0.5450000166893005,8.71500015258789,3.25600004196167
1569532037662,,,2.9679999351501465
1569532037663,-5.23799991607666,9.336999893188477,
1569532037733,-1.6759999990463257,9.826000213623047,-0.7940000295639038
1569532037798,-0.44999998807907104,6.961999893188477,6.550000190734863
1569532037865,3.2839999198913574,6.73199987411499,12.095000267028809
1569532037929,-0.9089999794960022,6.885000228881836,4.4720001220703125
1569532037994,,,6.004000186920166
1569532037995,-3.494999885559082,5.218999862670898,
1569532038060,-2.4130001068115234,9.442999839782715,2.747999906539917
1569532038127,-2.259999990463257,5.343999862670898,3.3420000076293945
1569532038196,1.5130000114440918,8.685999870300293,10.362000465393066
1569532038262,1.4259999990463257,10.869999885559082,2.624000072479248
1569532038322,,8.265000343322754,4.8460001945495605
1569532038323,0.6510000228881836,,
1569532038388,,,6.617000102996826
1569532038389,0.0860000029206276,6.445000171661377,
1569532038455,,,6.675000190734863
1569532038456,2.8340001106262207,7.718999862670898,
1569532038520,,8.704999923706055,7.679999828338623
1569532038521,2.739000082015991,,
1569532038586,,8.868000030517578,4.730999946594238
1569532038587,0.8709999918937683,,
1569532038653,,,7.077000141143799
1569532038654,-1.312000036239624,9.116999626159668,
1569532038718,,,2.5369999408721924
1569532038719,-0.8610000014305115,5.775000095367432,
1569532038784,-1.3020000457763672,6.953000068664551,10.496000289916992
1569532038851,,,8.560999870300293
1569532038852,-0.6990000009536743,7.315999984741211,
1569532038916,,,2.5280001163482666
1569532038917,-2.3359999656677246,7.125,
1569532038982,,7.315999984741211,4.769000053405762
1569532038983,-0.7080000042915344,,
1569532039048,,,6.320000171661377
1569532039049,1.628000020980835,7.556000232696533,
1569532039114,2.4609999656677246,6.90500020980835,3.5910000801086426
